id,title,genres,averageRating,releaseYear
473,My Octopus Teacher,"Documentary, Drama",8.1,2020
474,Kahaani,"Mystery, Thriller",8.1,2012
475,The Passion of Joan of Arc,"Biography, Drama, History",8.1,1928
476,Sholay,"Action, Adventure, Comedy",8.1,1975
477,Sunrise,"Drama, Romance",8.1,1927
478,Paper Moon,"Comedy, Crime, Drama",8.1,1973
479,Nights of Cabiria,Drama,8.1,1957
480,The Message,"Biography, Drama, History",8.1,1976
481,Wolf Children,"Animation, Drama, Family",8.1,2012
482,Tangerines,"Drama, War",8.1,2013
483,Udaan,Drama,8.1,2010
484,To Be or Not to Be,"Comedy, Romance, War",8.1,1942
485,What Is a Woman?,Documentary,8.1,2022
486,Endless Corridor,"Documentary, History",8.1,2014
487,The Red Shoes,"Drama, Music, Romance",8.1,1948
488,Ace in the Hole,"Drama, Film-Noir",8.1,1951
489,The Grand Illusion,"Drama, War",8.1,1937
490,Autumn Sonata,"Drama, Music",8.1,1978
491,Thuppakki,"Action, Crime, Thriller",8.1,2012
492,Guilty,"Crime, Drama, Mystery",8.1,2015
493,Article 15,"Crime, Drama, Mystery",8.1,2019
494,Rififi,"Crime, Drama, Thriller",8.1,1955
495,The Circus,"Comedy, Family, Romance",8.1,1928
496,White Heat,"Action, Crime, Drama",8.1,1949
497,Black,Drama,8.1,2005
498,Raise the Red Lantern,"Drama, Romance",8.1,1991
499,The Tashkent Files,"Drama, Mystery, Thriller",8.1,2019
500,Anand,"Drama, Musical",8.1,1971
501,Farewell My Concubine,"Drama, Music, Romance",8.1,1993
502,Seaspiracy,"Adventure, Documentary",8.1,2021
503,Inherit the Wind,"Biography, Drama, History",8.1,1960
504,Time of the Gypsies,"Comedy, Crime, Drama",8.1,1988
505,Major,"Action, Biography, Drama",8.1,2022
506,Masaan,Drama,8.1,2015
507,Z,"Crime, Drama, Thriller",8.1,1969
508,Kaththi,"Action, Drama",8.1,2014
509,Yi Yi,"Drama, Romance",8.1,2000
510,I Want to Eat Your Pancreas,"Animation, Drama, Family",8.1,2018
511,Everything's Gonna Be Great,"Comedy, Drama",8.1,1998
512,Jean de Florette,Drama,8.1,1986
513,Apollo 11,"Documentary, History",8.1,2019
514,Sarfarosh,"Action, Crime, Drama",8.1,1999
515,Army of Shadows,"Drama, War",8.1,1969
516,A Christmas Carol,"Drama, Family, Fantasy",8.1,1951
517,A Short Film About Love,"Drama, Romance",8.1,1988
518,Ugetsu,"Drama, Fantasy, War",8.1,1953
519,Cowspiracy: The Sustainability Secret,Documentary,8.1,2014
520,A Moment to Remember,"Drama, Romance",8.1,2004
521,The Twilight Samurai,"Drama, Romance",8.1,2002
522,Miracle in Cell No. 7,"Comedy, Drama",8.1,2013
523,Jo Jeeta Wohi Sikandar,"Comedy, Drama, Romance",8.1,1992
524,Hearts of Darkness: A Filmmaker's Apocalypse,Documentary,8.1,1991
525,Safety Last!,"Action, Comedy, Thriller",8.1,1923
526,Pardon,"Comedy, Drama",8.1,2005
527,The Dawn Wall,"Biography, Documentary, Sport",8.1,2017
528,The Miracle Worker,"Biography, Drama",8.1,1962
529,Innocence,Drama,8.1,1997
530,The Last Waltz,"Biography, Documentary, Music",8.1,1978
531,Where Is the Friend's House?,"Drama, Family",8.1,1987
532,Section 375,"Crime, Drama, Mystery",8.1,2019
533,Woodstock,"Documentary, History, Music",8.1,1970
534,Zeitgeist: Moving Forward,Documentary,8.1,2011
535,The Color of Paradise,"Drama, Family",8.1,1999
536,Amaran,"Action, Biography, Drama",8.1,2024
537,The Heiress,"Drama, Romance",8.1,1949
538,Iqbal,"Drama, Sport",8.1,2005
539,Hridayam,"Drama, Musical, Romance",8.1,2022
540,The Legend of Bhagat Singh,"Biography, Drama, History",8.1,2002
541,Faust,"Drama, Fantasy, Horror",8.1,1926
542,A Special Day,Drama,8.1,1977
543,Still: A Michael J. Fox Movie,"Biography, Documentary",8.1,2023
544,RangiTaranga,"Mystery, Thriller",8.1,2015
545,Indian,"Action, Drama, Musical",8.1,1996
546,Roja,"Drama, Romance, Thriller",8.1,1992
547,Bombay,"Drama, Romance",8.1,1995
548,Charlie,"Adventure, Drama, Romance",8.1,2015
549,Collective,"Crime, Documentary",8.1,2019
550,Montevideo: Taste of a Dream,"Adventure, Comedy, Drama",8.1,2010
551,George Harrison: Living in the Material World,"Biography, Documentary, Music",8.1,2011
552,Day of the Wacko,"Comedy, Drama, Romance",8.1,2002
553,Virunga,"Documentary, War",8.1,2014
554,Day of Wrath,"Drama, History",8.1,1943
555,The Great Indian Kitchen,"Comedy, Drama, Family",8.1,2021
556,Make Way for Tomorrow,"Drama, Romance",8.1,1937
557,The Avengers,"Action, Sci-Fi",8,2012
558,Guardians of the Galaxy,"Action, Adventure, Comedy",8,2014
559,Deadpool,"Action, Comedy, Sci-Fi",8,2016
560,The Martian,"Adventure, Drama, Sci-Fi",8,2015
561,Dune: Part One,"Action, Adventure, Drama",8,2021
562,The Revenant,"Adventure, Drama, Western",8,2015
563,Slumdog Millionaire,"Crime, Drama, Romance",8,2008
564,Donnie Darko,"Drama, Mystery, Sci-Fi",8,2001
565,Black Swan,"Drama, Thriller",8,2010
566,The Incredibles,"Action, Adventure, Animation",8,2004
567,The Imitation Game,"Biography, Drama, Thriller",8,2014
568,Kill Bill: Vol. 2,"Action, Crime, Thriller",8,2004
569,Sin City,"Crime, Thriller",8,2005
570,The King's Speech,"Biography, Drama, History",8,2010
571,La La Land,"Comedy, Drama, Music",8,2016
572,Casino Royale,"Action, Adventure, Thriller",8,2006
573,Groundhog Day,"Comedy, Drama, Fantasy",8,1993
574,Blade Runner 2049,"Action, Drama, Mystery",8,2017
575,Her,"Drama, Romance, Sci-Fi",8,2013
576,Into the Wild,"Adventure, Biography, Drama",8,2007
577,The Bourne Ultimatum,"Action, Mystery, Thriller",8,2007
578,12 Monkeys,"Mystery, Sci-Fi, Thriller",8,1995
579,Blood Diamond,"Adventure, Drama, Thriller",8,2006
580,The Pursuit of Happyness,"Biography, Drama",8,2006
581,Zootopia,"Action, Adventure, Animation",8,2016
582,Rain Man,Drama,8,1988
583,Beauty and the Beast,"Animation, Family, Fantasy",8,1991
584,Aladdin,"Adventure, Animation, Comedy",8,1992
585,Big Fish,"Adventure, Drama, Fantasy",8,2003
586,The Princess Bride,"Adventure, Comedy, Family",8,1987
587,Monty Python's Life of Brian,Comedy,8,1979
588,Soul,"Adventure, Animation, Comedy",8,2020
589,Scent of a Woman,Drama,8,1992
590,Magnolia,Drama,8,1999
591,Dances with Wolves,"Adventure, Drama, Western",8,1990
592,The Graduate,"Comedy, Drama, Romance",8,1967
593,Dog Day Afternoon,"Biography, Crime, Drama",8,1975
594,Amores Perros,"Drama, Thriller",8,2000
595,Lion,"Biography, Drama",8,2016
596,Rosemary's Baby,"Drama, Horror",8,1968
597,Gandhi,"Biography, Drama, History",8,1982
598,Ip Man,"Action, Biography, Drama",8,2008
599,Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama",8,1969
600,Akira,"Animation, Drama, Fantasy",8,1988
601,Planet of the Apes,"Adventure, Sci-Fi",8,1968
602,Cinderella Man,"Biography, Drama, Romance",8,2005
603,The Invisible Guest,"Crime, Drama, Mystery",8,2016
604,Cool Hand Luke,"Crime, Drama",8,1967
605,Castle in the Sky,"Adventure, Animation, Family",8,1986
606,Nausicaä of the Valley of the Wind,"Adventure, Animation, Sci-Fi",8,1984
607,CODA,"Comedy, Drama, Music",8,2021
608,JFK,"Drama, History, Thriller",8,1991
609,Young Frankenstein,Comedy,8,1974
610,Dogville,"Crime, Drama",8,2003
611,Roman Holiday,"Comedy, Drama, Romance",8,1953
612,Stalker,"Drama, Sci-Fi",8,1979
613,Bowling for Columbine,"Crime, Documentary, Drama",8,2002
614,Baahubali: The Beginning,"Action, Drama",8,2015
615,Papillon,"Biography, Crime, Drama",8,1973
616,Persona,"Drama, Thriller",8,1966
617,Infernal Affairs,"Crime, Drama, Mystery",8,2002
618,The 400 Blows,"Crime, Drama",8,1959
619,8½,Drama,8,1963
620,Do the Right Thing,"Comedy, Drama",8,1989
621,Elite Squad,"Action, Crime, Drama",8,2007
622,The Diving Bell and the Butterfly,"Biography, Drama",8,2007
623,Perfect Blue,"Animation, Crime, Drama",8,1997
624,The Straight Story,"Biography, Drama",8,1999
625,Persepolis,"Animation, Biography, Drama",8,2007
626,The Night of the Hunter,"Crime, Drama, Film-Noir",8,1955
627,Sling Blade,Drama,8,1996
628,The Celebration,Drama,8,1998
629,Farha,Drama,8,2021
630,Elite Squad 2: The Enemy Within,"Crime, Drama, Thriller",8,2010
631,"Spring, Summer, Fall, Winter... and Spring","Drama, Romance",8,2003
632,Pink Floyd: The Wall,"Drama, Fantasy, Music",8,1982
633,The Sea Inside,"Biography, Drama",8,2004
634,La Dolce Vita,"Comedy, Drama",8,1960
635,Who's Afraid of Virginia Woolf?,Drama,8,1966
636,Dilwale Dulhania Le Jayenge,"Drama, Romance",8,1995
637,Dil Chahta Hai,"Comedy, Drama, Romance",8,2001
638,Sicko,"Documentary, Drama",8,2007
639,Anatomy of a Murder,"Drama, Mystery",8,1959
640,The Cabinet of Dr. Caligari,"Horror, Mystery, Thriller",8,1920
641,M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",8,2016
642,The Legend of 1900,"Drama, Music, Romance",8,1998
643,Rio Bravo,Western,8,1959
644,G.O.R.A.,"Adventure, Comedy, Sci-Fi",8,2004
645,La Strada,Drama,8,1954
646,Song of the Sea,"Adventure, Animation, Drama",8,2014
647,What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",8,1962
648,Mommy,Drama,8,2014
649,Underground,"Comedy, Drama, Fantasy",8,1995
650,Le Samouraï,"Crime, Drama, Thriller",8,1967
651,Waltz with Bashir,"Animation, Biography, Documentary",8,2008
652,Special 26,"Crime, Drama, History",8,2013
653,Haider,"Action, Crime, Drama",8,2014
654,Citizenfour,"Biography, Documentary",8,2014
655,Andrei Rublev,"Biography, Drama, History",8,1966
656,The Tale of The Princess Kaguya,"Animation, Drama, Family",8,2013
657,Throne of Blood,Drama,8,1957
658,"Black Cat, White Cat","Comedy, Crime, Romance",8,1998
659,Winter Sleep,Drama,8,2014
660,Andaz Apna Apna,"Action, Comedy, Romance",8,1994
661,Departures,Drama,8,2008
662,The Last Picture Show,"Drama, Romance",8,1971
663,Lage Raho Munna Bhai,"Comedy, Drama, Romance",8,2006
664,Fiddler on the Roof,"Drama, Family, Musical",8,1971
665,Pink,"Crime, Drama, Thriller",8,2016
666,Secrets & Lies,"Comedy, Drama",8,1996
667,Central Station,Drama,8,1998
668,Brief Encounter,"Drama, Romance",8,1945
669,The Hidden Fortress,"Adventure, Drama",8,1958
670,Sanjuro,"Action, Drama, Thriller",8,1962
671,Out of the Past,"Crime, Drama, Film-Noir",8,1947
672,Wolfwalkers,"Action, Adventure, Animation",8,2020
673,Tae Guk Gi: The Brotherhood of War,"Action, Drama, War",8,2004
674,Going Clear: Scientology & the Prison of Belief,Documentary,8,2015
675,Ivan's Childhood,"Drama, War",8,1962
676,The Shop Around the Corner,"Comedy, Drama, Romance",8,1940
677,Kind Hearts and Coronets,"Comedy, Crime",8,1949
678,Fitzcarraldo,"Adventure, Drama, Music",8,1982
679,"Quo Vadis, Aida?","Drama, History, War",8,2020
680,Vizontele,"Comedy, Drama, History",8,2001
681,The King of Kong: A Fistful of Quarters,"Biography, Documentary, Sport",8,2007
682,Sweet Smell of Success,"Drama, Film-Noir",8,1957
683,Au Revoir les Enfants,"Drama, War",8,1987
684,The Exterminating Angel,"Drama, Fantasy",8,1962
685,The Breath,"Action, Drama, Thriller",8,2009
686,Nobody Knows,Drama,8,2004
687,The Virgin Spring,Drama,8,1960
688,Lucky Baskhar,"Crime, Drama, Thriller",8,2024
689,"Rome, Open City","Drama, Thriller, War",8,1945
690,A Woman Under the Influence,"Drama, Romance",8,1974
691,The Blue Elephant,"Crime, Drama, Horror",8,2014
692,Sirf Ek Bandaa Kaafi Hai,"Crime, Drama, Thriller",8,2023
693,The Wild Pear Tree,Drama,8,2018
694,Jodorowsky's Dune,Documentary,8,2013
695,Winter Light,Drama,8,1963
696,Viridiana,Drama,8,1961
697,A Matter of Life and Death,"Drama, Fantasy, Romance",8,1946
698,Fail Safe,"Drama, Thriller",8,1964
699,The Ox-Bow Incident,"Drama, Western",8,1942
700,The Fog of War,"Biography, Documentary, History",8,2003
701,Day for Night,"Comedy, Drama, Romance",8,1973
702,Ali: Fear Eats the Soul,"Drama, Romance",8,1974
703,Manon of the Spring,Drama,8,1986
704,Silenced,"Crime, Drama, Thriller",8,2011
705,Karnan,"Action, Drama",8,2021
706,Taylor Swift: The Eras Tour,"Documentary, Music, Musical",8,2023
707,A Short Film About Killing,"Crime, Drama",8,1988
708,Limelight,"Drama, Music, Romance",8,1952
709,Omkara,"Action, Crime, Drama",8,2006
710,Crumb,"Biography, Comedy, Documentary",8,1994
711,The Corporation,"Documentary, History",8,2003
712,Turtles Can Fly,"Drama, War",8,2004
713,Manjhi: The Mountain Man,"Biography, Drama",8,2015
714,Castaway on the Moon,"Comedy, Drama, Romance",8,2009
715,Honeyland,"Documentary, Drama",8,2019
716,The Internet's Own Boy: The Story of Aaron Swartz,"Biography, Crime, Documentary",8,2014
717,The Fool,"Crime, Drama, Thriller",8,2014
718,The Life and Death of Colonel Blimp,"Drama, Romance, War",8,1943
719,Werckmeister Harmonies,"Drama, Mystery",8,2000
720,Love Today,"Comedy, Drama, Romance",8,2022
721,Love Exposure,"Action, Comedy, Drama",8,2008
722,Company,"Action, Crime, Drama",8,2002
723,Gulaal,"Crime, Drama, Thriller",8,2009
724,Pokiri,"Action, Crime, Thriller",8,2006
725,Evangelion: 3.0+1.01 Thrice Upon a Time,"Action, Animation, Drama",8,2021
726,The Last Laugh,Drama,8,1924
727,Shame,Drama,8,1968
728,How to Make Millions Before Grandma Dies,"Comedy, Drama, Family",8,2024
729,Vaastav: The Reality,"Action, Crime, Drama",8,1999
730,Moscow Does Not Believe in Tears,"Comedy, Drama, Romance",8,1980
731,The Phantom Carriage,"Drama, Fantasy, Horror",8,1921
732,The Bad Sleep Well,"Crime, Drama, Thriller",8,1960
733,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Documentary, History, Music",8,2021
734,Malik,"Action, Biography, Crime",8,2021
735,Hey Ram,"Crime, Drama, History",8,2000
736,Investigation of a Citizen Above Suspicion,"Crime, Drama",8,1970
737,The Cameraman,"Comedy, Drama, Family",8,1928
738,Forbidden Games,"Drama, War",8,1952
739,Maqbool,"Crime, Drama, Thriller",8,2003
740,Metal: A Headbanger's Journey,"Documentary, Music",8,2005
741,Rekhachithram,"Drama, Mystery, Thriller",8,2025
742,Stanley Kubrick: A Life in Pictures,"Biography, Documentary",8,2001
743,Deewaar,"Action, Crime, Drama",8,1975
744,The Red Pill,Documentary,8,2016
745,The Wounds,"Comedy, Crime, Drama",8,1998
746,The Cremator,"Comedy, Crime, Drama",8,1969
747,Kishkindha Kaandam,"Drama, Mystery, Thriller",8,2024
748,My Grandfather's People,"Comedy, Drama, Family",8,2011
749,Ayyappanum Koshiyum,"Action, Drama, Thriller",8,2020
750,Abbas in Flower,"Comedy, Drama, Romance",8,1982
751,The Blue Elephant 2,"Crime, Drama, Horror",8,2019
752,Por Thozhil,"Action, Crime, Thriller",8,2023
753,An Autumn Afternoon,Drama,8,1962
754,The First Slam Dunk,"Animation, Comedy, Drama",8,2022
755,Paradise Lost 3: Purgatory,"Crime, Documentary",8,2011
756,Greed,"Drama, Thriller, Western",8,1924
757,Okkadu,"Action, Drama, Romance",8,2003
758,Jigarthanda Double X,"Action, Comedy, Drama",8,2023
759,Minding the Gap,"Documentary, Sport",8,2018
760,Why We Fight,"Documentary, History, War",8,2005
761,A Raisin in the Sun,Drama,8,1961
762,Early Summer,"Comedy, Drama, Romance",8,1951
763,Requiem for the American Dream,"Biography, Documentary, News",8,2015
764,Ask Your Heart,"Drama, Romance",8,2010
765,Avatar,"Action, Adventure, Fantasy",7.9,2009
766,Titanic,"Drama, Romance",7.9,1997
767,Iron Man,"Action, Adventure, Sci-Fi",7.9,2008
768,Thor: Ragnarok,"Action, Adventure, Comedy",7.9,2017
769,Arrival,"Drama, Mystery, Sci-Fi",7.9,2016
770,Knives Out,"Comedy, Crime, Drama",7.9,2019
771,Shrek,"Adventure, Animation, Comedy",7.9,2001
772,Edge of Tomorrow,"Action, Adventure, Sci-Fi",7.9,2014
773,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",7.9,2014
774,District 9,"Action, Sci-Fi, Thriller",7.9,2009
775,Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",7.9,2004
776,Life of Pi,"Adventure, Drama, Fantasy",7.9,2012
777,Toy Story 2,"Adventure, Animation, Comedy",7.9,1999
778,Star Trek,"Action, Adventure, Sci-Fi",7.9,2009
779,Bohemian Rhapsody,"Biography, Drama, Music",7.9,2018
780,Shaun of the Dead,"Comedy, Horror",7.9,2004
781,The Perks of Being a Wallflower,Drama,7.9,2012
782,Children of Men,"Drama, Sci-Fi, Thriller",7.9,2006
783,Dallas Buyers Club,"Biography, Drama",7.9,2013
784,Mystic River,"Crime, Drama, Mystery",7.9,2003
785,In Bruges,"Comedy, Crime, Drama",7.9,2008
786,Jojo Rabbit,"Comedy, Drama, War",7.9,2019
787,Zack Snyder's Justice League,"Action, Adventure, Fantasy",7.9,2021
788,E.T. the Extra-Terrestrial,"Adventure, Family, Sci-Fi",7.9,1982
789,Guardians of the Galaxy Vol. 3,"Action, Adventure, Comedy",7.9,2023
790,Mulholland Drive,"Drama, Mystery, Thriller",7.9,2001
791,The Nightmare Before Christmas,"Animation, Family, Fantasy",7.9,1993
792,Boyhood,Drama,7.9,2014
793,Marriage Story,"Drama, Romance",7.9,2019
794,The Wrestler,"Drama, Sport",7.9,2008
795,Almost Famous,"Adventure, Comedy, Drama",7.9,2000
796,Boogie Nights,Drama,7.9,1997
797,"Crouching Tiger, Hidden Dragon","Action, Adventure, Drama",7.9,2000
798,Fantastic Mr. Fox,"Adventure, Animation, Comedy",7.9,2009
799,Annie Hall,"Comedy, Romance",7.9,1977
800,True Romance,"Crime, Drama, Romance",7.9,1993
801,A Fistful of Dollars,"Drama, Western",7.9,1964
802,Carlito's Way,"Crime, Drama, Thriller",7.9,1993
803,The Blues Brothers,"Adventure, Comedy, Crime",7.9,1980
804,The Holdovers,"Comedy, Drama",7.9,2023
805,Hero,"Action, Adventure, Drama",7.9,2002
806,Wonder,"Drama, Family",7.9,2017
807,Before Midnight,"Drama, Romance",7.9,2013
808,A Christmas Story,"Comedy, Family",7.9,1983
809,The Maltese Falcon,"Crime, Drama, Film-Noir",7.9,1941
810,Ghost in the Shell,"Action, Animation, Crime",7.9,1995
811,Rope,"Crime, Drama, Mystery",7.9,1948
812,This Is Spinal Tap,"Comedy, Music",7.9,1984
813,Spartacus,"Adventure, Biography, Drama",7.9,1960
814,Strangers on a Train,"Crime, Drama, Film-Noir",7.9,1951
815,The Raid 2,"Action, Crime, Thriller",7.9,2014
816,All the President's Men,"Drama, History, Thriller",7.9,1976
817,Dancer in the Dark,"Crime, Drama, Musical",7.9,2000
818,Talk to Her,"Drama, Mystery, Romance",7.9,2002
819,My Name Is Khan,"Drama, Romance",7.9,2010
820,A Streetcar Named Desire,Drama,7.9,1951
821,High Noon,"Drama, Thriller, Western",7.9,1952
822,Touch of Evil,"Crime, Drama, Film-Noir",7.9,1958
823,Patton,"Biography, Drama, War",7.9,1970
824,Notorious,"Drama, Film-Noir, Mystery",7.9,1946
825,Amour,Drama,7.9,2012
826,Sing Street,"Comedy, Drama, Music",7.9,2016
827,Chungking Express,"Comedy, Crime, Drama",7.9,1994
828,The Killing,"Crime, Drama, Film-Noir",7.9,1956
829,Solaris,"Drama, Mystery, Sci-Fi",7.9,1972
830,Short Term 12,Drama,7.9,2013
831,King Kong,"Adventure, Horror",7.9,1933
832,The Big Sleep,"Crime, Drama, Film-Noir",7.9,1946
833,The Wild Bunch,"Action, Adventure, Drama",7.9,1969
834,Shoplifters,"Crime, Drama, Thriller",7.9,2018
835,The Hustler,"Drama, Sport",7.9,1961
836,In the Heat of the Night,"Drama, Mystery, Thriller",7.9,1967
837,Doctor Zhivago,"Drama, Romance, War",7.9,1965
838,Harold and Maude,"Comedy, Drama, Romance",7.9,1971
839,Perfect Days,Drama,7.9,2023
840,The Manchurian Candidate,"Drama, Thriller",7.9,1962
841,The Ten Commandments,"Adventure, Drama, Family",7.9,1956
842,Wings of Desire,"Drama, Fantasy, Romance",7.9,1987
843,Being There,"Comedy, Drama",7.9,1979
844,Kal Ho Naa Ho,"Comedy, Drama, Musical",7.9,2003
845,Flow,"Adventure, Animation, Family",7.9,2024
846,Arsenic and Old Lace,"Comedy, Crime, Thriller",7.9,1944
847,Exit Through the Gift Shop,"Comedy, Crime, Documentary",7.9,2010
848,Karthikeya 2,"Action, Adventure, Fantasy",7.9,2022
849,"4 Months, 3 Weeks and 2 Days",Drama,7.9,2007
850,Battleship Potemkin,"Drama, History, Thriller",7.9,1925
851,Jab We Met,"Comedy, Drama, Romance",7.9,2007
852,Baby,"Action, Thriller",7.9,2015
853,Stalag 17,"Comedy, Drama, War",7.9,1953
854,3-Iron,"Crime, Drama, Romance",7.9,2004
855,Airlift,"Drama, History",7.9,2016
856,Harvey,"Comedy, Drama, Fantasy",7.9,1950
857,Nine Queens,"Crime, Drama, Thriller",7.9,2000
858,About Elly,"Drama, Mystery",7.9,2009
859,Togo,"Adventure, Biography, Drama",7.9,2019
860,Miracle on 34th Street,"Comedy, Drama, Family",7.9,1947
861,Icarus,"Documentary, Sport",7.9,2017
862,The Adventures of Robin Hood,"Action, Adventure, Romance",7.9,1938
863,Cat on a Hot Tin Roof,Drama,7.9,1958
864,Mirror,"Biography, Drama",7.9,1975
865,Laura,"Drama, Film-Noir, Mystery",7.9,1944
866,My Sassy Girl,"Comedy, Drama, Romance",7.9,2001
867,Sleuth,"Mystery, Thriller",7.9,1972
868,No Man's Land,"Comedy, Drama, War",7.9,2001
869,The Return,Drama,7.9,2003
870,1: Nenokkadine,"Action, Thriller",7.9,2014
871,Gully Boy,"Drama, Music, Romance",7.9,2019
872,The Lost Weekend,"Drama, Film-Noir",7.9,1945
873,Vishwaroopam,"Action, Thriller",7.9,2013
874,Kagemusha: The Shadow Warrior,"Drama, History, War",7.9,1980
875,Super 30,"Biography, Drama",7.9,2019
876,Badhaai Ho,"Comedy, Drama",7.9,2018
877,Touching the Void,"Adventure, Documentary, Drama",7.9,2003
878,Cries & Whispers,Drama,7.9,1972
879,Once Were Warriors,"Crime, Drama",7.9,1994
880,In a Lonely Place,"Drama, Film-Noir, Mystery",7.9,1950
881,The Conformist,Drama,7.9,1970
882,"Blood In, Blood Out","Biography, Crime, Drama",7.9,1993
883,A Taxi Driver,"Action, Drama, History",7.9,2017
884,Black Hawk Down,Documentary,7.9,1997
885,The Thin Man,"Comedy, Crime, Mystery",7.9,1934
886,The Sacrifice,Drama,7.9,1986
887,Dev.D,"Comedy, Drama, Romance",7.9,2009
888,The Rules of the Game,"Comedy, Drama",7.9,1939
889,The Leopard,"Drama, History",7.9,1963
890,Nostalghia,Drama,7.9,1983
891,The Big Heat,"Crime, Drama, Film-Noir",7.9,1953
892,In Cold Blood,"Biography, Crime, Drama",7.9,1967
893,Pad Man,"Comedy, Drama",7.9,2018
894,Le cercle rouge,"Crime, Drama, Thriller",7.9,1970
895,Elevator to the Gallows,"Crime, Drama, Thriller",7.9,1958
896,Mildred Pierce,"Crime, Drama, Film-Noir",7.9,1945
897,Sullivan's Travels,"Adventure, Comedy, Drama",7.9,1941
898,Beauty and the Beast,"Drama, Fantasy, Romance",7.9,1946
899,Arjun Reddy,"Drama, Romance",7.9,2017
900,The Way He Looks,"Drama, Romance",7.9,2014
901,Through a Glass Darkly,Drama,7.9,1961
902,My Man Godfrey,"Comedy, Drama, Romance",7.9,1936
903,The Thin Blue Line,"Crime, Documentary",7.9,1988
904,Evangelion: 2.0 You Can (Not) Advance,"Action, Animation, Drama",7.9,2009
905,La Notte,Drama,7.9,1961
906,Tampopo,Comedy,7.9,1985
907,Ugly,"Crime, Drama, Mystery",7.9,2013
908,Kes,"Drama, Family",7.9,1969
909,I Am Not Your Negro,"Documentary, History",7.9,2016
910,Angels with Dirty Faces,"Crime, Drama, Film-Noir",7.9,1938
911,Onibaba,"Drama, Horror, Thriller",7.9,1964
912,Maidaan,"Biography, Drama, History",7.9,2024
913,The Big Country,"Drama, Romance, Western",7.9,1958
914,The Stoning of Soraya M.,Drama,7.9,2008
915,Kwaidan,"Drama, Fantasy, Horror",7.9,1964
916,Don't Look Now... We're Being Shot At!,"Adventure, Comedy, War",7.9,1966
917,Flee,"Animation, Biography, Documentary",7.9,2021
918,When We Were Kings,"Documentary, Sport",7.9,1996
919,Still Walking,Drama,7.9,2008
920,A Night to Remember,"Drama, History",7.9,1958
921,Border,"Action, Drama, History",7.9,1997
922,BTS Permission to Dance on Stage - Seoul: Live Viewing,"Documentary, Music",7.9,2022
923,Anvil: The Story of Anvil,"Biography, Documentary, Drama",7.9,2008
924,Trouble in Paradise,"Comedy, Crime, Romance",7.9,1932
925,On Board,"Crime, Drama",7.9,1998
926,Thiruchitrambalam,"Comedy, Drama, Musical",7.9,2022
927,Leila's Brothers,Drama,7.9,2022
928,The Roaring Twenties,"Crime, Drama, Thriller",7.9,1939
929,The Class,Drama,7.9,2007
930,The Alpinist,"Biography, Documentary",7.9,2021
931,Mishima: A Life in Four Chapters,"Biography, Drama",7.9,1985
932,Eternity and a Day,Drama,7.9,1998
933,The Greatest Night in Pop,"Documentary, Music",7.9,2024
934,Divorce Italian Style,"Comedy, Drama, Romance",7.9,1961
935,Yol,Drama,7.9,1982
936,Earth,Documentary,7.9,2007
937,Marley,"Biography, Documentary, Music",7.9,2012
938,Ivy,"Drama, Fantasy, Thriller",7.9,2015
939,The Testament of Dr. Mabuse,"Crime, Mystery, Thriller",7.9,1933
940,The Little Foxes,"Drama, Romance",7.9,1941
941,The Other Me,"Crime, Drama, Mystery",7.9,2016
942,Auntie Mame,"Comedy, Drama, Romance",7.9,1958
943,Sonchiriya,"Action, Crime, Drama",7.9,2019
944,Ankhon Dekhi,"Comedy, Drama",7.9,2013
945,Cars of the Revolution,"Drama, History",7.9,2008
946,The Sword of Doom,"Action, Drama",7.9,1966
947,Winged Migration,Documentary,7.9,2001
948,Manam,"Comedy, Drama, Fantasy",7.9,2014
949,Big Deal on Madonna Street,"Comedy, Crime",7.9,1958
950,Love Letter,"Drama, Romance",7.9,1995
951,The Book of Sun,Comedy,7.9,2020
952,"Goodbye, Mr. Chips","Drama, Romance",7.9,1939
953,Microcosmos,Documentary,7.9,1996
954,Cría Cuervos,Drama,7.9,1976
955,The Earrings of Madame De...,"Drama, Romance",7.9,1953
956,The Song of Sparrows,"Drama, Family",7.9,2008
957,Captains Courageous,"Adventure, Drama, Family",7.9,1937
958,Dragon,"Comedy, Drama, Romance",7.9,2025
959,West of Memphis,"Crime, Documentary",7.9,2012
960,The Face of Another,"Drama, Sci-Fi, Thriller",7.9,1966
961,Deliver Us from Evil,"Crime, Documentary",7.9,2006
962,The Devil and Daniel Johnston,"Biography, Documentary, Music",7.9,2005
963,Bob Dylan: Dont Look Back,"Documentary, Music",7.9,1967
964,The Trap,"Crime, Drama, Thriller",7.9,2007
965,Salaam Bombay!,"Crime, Drama",7.9,1988
966,Landscape in the Mist,Drama,7.9,1988
967,Anjaam Pathiraa,"Crime, Mystery, Thriller",7.9,2020
968,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",7.8,2015
969,The Hobbit: An Unexpected Journey,"Adventure, Fantasy",7.8,2012
